# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -4.6871E-01 -2.4367E+00  2.2609E+00  2.3085E+00 -7.3358E+00 -4.0275E+00 -9.4822E-01  9.4569E-02  5.1507E-03  2.2820E+00  2.3226E+00  1.5580E+00  1.9753E+00  2.3682E+00  3.5259E+00 -8.0436E+00 -6.9282E+00 -6.3103E+00 -8.8866E-01  3.6416E-01  3.5838E+00  2.0480E+02  3.1364E+01
  1.2479E+00 -4.7182E+00  1.2879E+00  1.1347E+00 -5.4731E+00 -5.1774E+00 -4.5587E+00  9.0516E-02  5.5820E-03  2.0216E+00  1.3758E+00  1.1704E+00  1.8700E+00  2.4859E+00  3.5364E+00 -8.2275E+00 -5.5914E+00 -3.7143E+00 -2.1391E-01  3.4528E-01  3.3939E+00  2.0501E+02  3.1494E+01
  2.6405E+00 -6.6837E+00  1.5152E+00  1.7013E+00 -5.3713E+00 -5.6006E+00 -2.1994E+00  9.8642E-02  4.0707E-03  2.7344E+00  1.4869E+00  2.3292E+00  1.9468E+00  2.3519E+00  3.1935E+00 -8.5368E+00 -7.4780E+00 -5.2593E+00 -1.0103E+00  2.9214E-01  3.2480E+00  1.9832E+02  2.8536E+01
  1.4635E+00 -2.0936E+00  1.5528E+00  1.6311E+00 -5.1567E+00 -5.3214E+00 -5.8124E+00  9.8325E-02  2.8619E-03  7.2925E-01  1.3249E+00  1.4325E+00  2.0626E+00  2.3975E+00  3.9043E+00 -5.5893E+00 -5.4877E+00 -4.4848E+00 -7.1669E-01  3.7714E-01  3.5041E+00  2.0002E+02  3.3510E+01
 -2.1781E+00  3.3306E-01  2.6996E+00  2.8412E+00 -8.0916E+00 -8.4656E+00 -2.3577E+00  9.2806E-02  3.3984E-03  1.8779E+00  1.2929E+00  2.0615E+00  1.8443E+00  2.1430E+00  3.2481E+00 -6.7290E+00 -6.5433E+00 -5.3055E+00 -2.4138E+00  3.5273E-01  3.4175E+00  2.0531E+02  3.1946E+01
  6.8783E-01  2.2095E-01  2.3291E+00  2.3422E+00 -6.5900E+00 -4.3760E+00 -3.9526E+00  9.5308E-02  4.9872E-03  2.1585E+00  6.8922E-01  1.7671E+00  2.0427E+00  2.3206E+00  3.4093E+00 -6.9541E+00 -5.6675E+00 -5.1814E+00 -1.2092E+00  3.6741E-01  3.4660E+00  2.0134E+02  3.2818E+01
 -2.9832E+00 -3.1220E+00  1.0375E+00  1.4326E+00 -6.4411E+00 -8.1168E+00 -8.5223E+00  9.8542E-02  4.9312E-03  1.1405E+00  2.4282E+00  1.5907E+00  2.1861E+00  2.2503E+00  3.1925E+00 -8.6145E+00 -5.2522E+00 -4.9237E+00 -2.2486E+00  3.3666E-01  3.3640E+00  2.0040E+02  3.0872E+01
  8.0124E-02 -6.5432E+00  2.0706E+00  2.0083E+00 -8.3368E+00 -4.5905E+00 -6.8894E-01  9.2703E-02  4.9965E-03  1.0595E+00  1.6818E+00  8.9121E-01  1.9882E+00  2.4263E+00  3.5560E+00 -7.9919E+00 -6.0109E+00 -4.1320E+00 -5.1582E-01  4.1621E-01  3.6824E+00  2.0478E+02  3.6283E+01
 -5.7651E-01 -4.6464E+00  2.2528E+00  2.4365E+00 -7.1135E+00 -4.2706E+00 -5.3201E+00  1.0022E-01  5.5037E-03  1.8771E+00  2.1168E+00  1.9962E+00  1.5712E+00  2.0274E+00  2.9362E+00 -8.0287E+00 -7.7865E+00 -7.7102E+00 -3.5155E+00  3.1704E-01  3.3121E+00  1.9615E+02  2.9863E+01
 -1.2889E-01 -1.5524E+00  2.2937E+00  2.5735E+00 -8.7255E+00 -8.6665E+00 -6.2881E+00  1.0450E-01  3.2150E-03  2.3831E+00  1.0904E+00  1.8836E+00  2.0649E+00  2.2671E+00  3.2093E+00 -6.3795E+00 -4.3822E+00 -3.9315E+00 -1.5924E+00  3.7664E-01  3.5021E+00  1.9143E+02  3.3478E+01
