# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -1.4141E+00 -4.9876E+00  1.5145E+00 -7.3706E+00 -1.1463E+00  2.1415E-01 -4.1529E+00  9.5435E-02  5.1243E-03  1.4109E+00  2.2340E+00  7.4397E-01  1.9451E+00  2.4564E+00  1.2514E+00 -6.7333E+00 -5.3773E+00 -5.0526E+00 -5.3656E-01  2.5790E-04  2.7528E+00  2.1858E+02  1.7874E+01
 -3.1572E+00 -2.1650E+00 -5.7913E-01 -7.9539E+00 -3.1317E+00 -1.8941E+00 -5.1715E+00  9.7829E-02  5.7390E-03  1.5485E+00  6.6708E-01  1.1879E+00  2.3162E+00  2.4859E+00  7.8236E-01 -7.3816E+00 -4.2427E+00 -3.5752E+00  1.5724E+00  2.1841E-03  2.7444E+00  2.1587E+02  1.7835E+01
 -1.2580E+00  1.8972E+00  4.6507E-01 -3.7783E+00 -2.8672E+00 -1.5384E+00 -4.1708E+00  9.0375E-02  3.9136E-03  7.9768E-01  1.7164E+00  2.4663E+00  2.3464E+00  2.4535E+00  2.4196E+00 -6.0693E+00 -4.7382E+00 -3.0562E+00 -4.0458E-01  2.8020E-03  2.7342E+00  2.2249E+02  1.7454E+01
 -1.2895E+00 -2.3965E+00  8.3993E-01 -7.7809E+00 -1.5145E+00 -3.4139E-01 -1.0912E+00  9.6848E-02  5.4790E-03  2.3305E+00  1.2868E+00  1.9889E+00  2.2753E+00  2.4578E+00  1.8861E+00 -7.0951E+00 -6.9061E+00 -4.3227E+00 -5.9829E-01  5.2235E-04  1.3119E+00  2.1659E+02  2.5731E+00
  1.8822E+00 -7.2988E+00  8.0573E-01 -1.3198E+00 -1.9664E+00 -3.2500E-01 -6.3748E+00  9.8179E-02  3.4827E-03  6.8656E-01  1.6389E+00  1.1280E+00  2.1576E+00  2.4648E+00  6.0879E-01 -7.4670E+00 -5.5147E+00 -4.8677E+00  1.1026E-01  4.4212E-03  2.7498E+00  2.1429E+02  1.7917E+01
  2.1635E+00 -5.1038E+00  2.4523E+00 -6.3993E+00 -5.8775E-01  1.0178E+00 -5.1427E+00  9.1807E-02  3.9193E-03  1.7399E+00  1.5188E+00  2.4459E+00  2.0997E+00  2.4557E+00  1.8519E+00 -8.3931E+00 -6.6344E+00 -5.5880E+00 -1.3684E+00  9.0445E-03  2.7491E+00  2.2290E+02  1.7994E+01
 -2.3632E+00 -3.0930E+00  2.4229E+00 -3.9619E+00 -8.2737E-01  1.1250E+00 -1.7391E+00  9.3489E-02  2.6550E-03  1.5552E+00  6.7872E-01  1.4060E+00  2.1693E+00  2.4690E+00  8.5388E-01 -8.3328E+00 -7.7930E+00 -5.2040E+00 -4.4204E-01  9.1197E-04  2.7475E+00  2.2074E+02  1.7849E+01
  1.2667E+00 -1.0705E+00  1.4585E+00 -1.6854E+00 -1.3097E+00  9.6164E-02 -8.6932E+00  9.2958E-02  2.2179E-03  1.7868E+00  1.0798E+00  1.2881E+00  1.9532E+00  2.4715E+00  6.8950E-01 -8.2092E+00 -6.3157E+00 -5.7557E+00 -2.5154E-01  5.6236E-04  2.7450E+00  2.2027E+02  1.7838E+01
  9.2287E-03  2.7494E+00  2.6087E+00  1.0111E+00  8.4407E-01  1.3548E+00 -5.7196E+00  9.3718E-02  3.3735E-03  2.1827E+00  1.8411E+00  1.8909E+00  2.1469E+00  2.4707E+00  2.2531E+00 -8.9732E+00 -6.8268E+00 -5.4824E+00 -2.3756E-01  2.4198E-03  2.7456E+00  2.1653E+02  1.7814E+01
  1.8353E-01 -3.4440E+00  1.9340E+00 -4.7368E+00 -7.6534E-01  7.1539E-01 -2.0114E+00  9.5226E-02  1.8996E-03  4.6553E-01  1.3981E+00  2.1121E+00  2.2993E+00  2.4821E+00  9.4580E-01 -7.6300E+00 -5.9453E+00 -4.3032E+00  4.5672E-02  4.0409E-02  2.4177E+00  2.1908E+02  9.2606E+00
  2.4009E-01 -5.1429E+00  2.4666E-01 -5.5348E+00 -2.6009E+00 -1.1895E+00 -5.6447E+00  9.1314E-02  1.4381E-03  2.3242E+00  6.0655E-01  1.0811E+00  2.1299E+00  2.4867E+00  1.4764E+00 -7.8358E+00 -5.7419E+00 -5.3672E+00  1.0905E+00  1.9985E-03  2.7426E+00  2.2280E+02  1.7827E+01
